"","FLIGHTNUMBER","Date","Time","LATITUDE","LONGITUDE","SPECIES","GROUPSIZE"
"109425",19,"19-Aug-09","00-Jan-00",56.268162,-163.25071,"BP - Fin Whale",1
"109444",19,"19-Aug-09","00-Jan-00",56.263683,-163.31228,"BP - Fin Whale",1
"109463",19,"19-Aug-09","00-Jan-00",56.245161,-163.27787,"BP - Fin Whale",4
"109545",19,"19-Aug-09","00-Jan-00",56.392884,-163.24418,"MN - Humpback Whale",6
"109562",19,"19-Aug-09","00-Jan-00",56.388722,-163.30424,"BP - Fin Whale",3
"109583",19,"19-Aug-09","00-Jan-00",56.382455,-163.33199,"MN - Humpback Whale",2
"109599",19,"19-Aug-09","00-Jan-00",56.416312,-163.32182,"BP - Fin Whale",4
"109606",19,"19-Aug-09","00-Jan-00",56.410351,-163.28814,"BP - Fin Whale",1
"109608",19,"19-Aug-09","00-Jan-00",56.424779,-163.31855,"BP - Fin Whale",2
"109708",19,"19-Aug-09","00-Jan-00",56.466657,-163.25853,"BP - Fin Whale",1
"109782",19,"19-Aug-09","00-Jan-00",56.476661,-163.27302,"BP - Fin Whale",1
"109990",19,"19-Aug-09","00-Jan-00",56.476839,-163.4164,"BP - Fin Whale",2
"110002",19,"19-Aug-09","00-Jan-00",56.481448,-163.38444,"BP - Fin Whale",1
"110009",19,"19-Aug-09","00-Jan-00",56.481786,-163.41095,"BP - Fin Whale",3
"110030",19,"19-Aug-09","00-Jan-00",56.465266,-163.45044,"BP - Fin Whale",2
"110073",19,"19-Aug-09","00-Jan-00",56.376436,-163.38846,"BP - Fin Whale",1
"110106",19,"19-Aug-09","00-Jan-00",56.289288,-163.3653,"BP - Fin Whale",2
"110134",19,"19-Aug-09","00-Jan-00",56.307123,-163.37478,"BP - Fin Whale",1
"110464",19,"19-Aug-09","00-Jan-00",56.262676,-163.51174,"BP - Fin Whale",2
"112862",21,"23-Aug-09","00-Jan-00",57.173566,-163.90423,"BP - Fin Whale",1
"115127",22,"24-Aug-09","00-Jan-00",57.829699,-165.04,"BP - Fin Whale",2
"115196",22,"24-Aug-09","00-Jan-00",57.849843,-164.99394,"BP - Fin Whale",1
"115371",22,"24-Aug-09","00-Jan-00",57.708973,-165.058,"BP - Fin Whale",1
